Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak	malignant cell	ENSG00000110717	NDUFS8	protein_coding	0.8453801389517063	0.08330971272665871	0.702	0.763	1	125	137	ENSG00000110717
Pozniak	malignant cell	ENSG00000113593	PPWD1	protein_coding	0.8454566109332228	0.3208480479411837	0.275	0.291	1	25	21	ENSG00000113593
Pozniak	malignant cell	ENSG00000072182	ASIC4	protein_coding	0.8457231860878202	-0.09257280710480043	0.039	0.036	1	3	2	ENSG00000072182
Pozniak	malignant cell	ENSG00000108700	CCL8	protein_coding	0.845864677257123	0.9905541777289963	0.004	0.005	1	0	0	ENSG00000108700
Pozniak	malignant cell	ENSG00000131781	FMO5	protein_coding	0.845999315812914	1.0636808216921088	0.035	0.038	1	3	2	ENSG00000131781
Pozniak	malignant cell	ENSG00000175073	VCPIP1	protein_coding	0.8460109877179784	0.25619674661865566	0.345	0.37	1	37	30	ENSG00000175073
Pozniak	malignant cell	ENSG00000136104	RNASEH2B	protein_coding	0.8460507066698355	0.2073422044940061	0.341	0.384	1	44	33	ENSG00000136104
Pozniak	malignant cell	ENSG00000104218	CSPP1	protein_coding	0.846173171254719	0.36044264729980613	0.337	0.377	1	40	32	ENSG00000104218
Pozniak	malignant cell	ENSG00000167566	NCKAP5L	protein_coding	0.8465769283013461	0.5582144583875011	0.275	0.309	1	32	23	ENSG00000167566
Pozniak	malignant cell	ENSG00000130544	ZNF557	protein_coding	0.8466611443306228	0.14101503990261266	0.159	0.17	1	13	10	ENSG00000130544
Pozniak	malignant cell	ENSG00000184677	ZBTB40	protein_coding	0.84698414322304	0.4431482828233264	0.221	0.23	1	22	17	ENSG00000184677
Pozniak	malignant cell	ENSG00000171320	ESCO2	protein_coding	0.847012159304167	0.45717716765898686	0.066	0.07	1	13	8	ENSG00000171320
Pozniak	malignant cell	ENSG00000161929	SCIMP	protein_coding	0.847247880157881	1.8007297303349086	0.008	0.009	1	1	1	ENSG00000161929
Pozniak	malignant cell	ENSG00000171695	LKAAEAR1	protein_coding	0.8475007143097621	0.9471588848430015	0.016	0.017	1	1	1	ENSG00000171695
Pozniak	malignant cell	ENSG00000139629	GALNT6	protein_coding	0.8475410806011527	0.37198034133647795	0.047	0.05	1	6	4	ENSG00000139629
Pozniak	malignant cell	ENSG00000126351	THRA	protein_coding	0.8476344173717675	0.6001762481362569	0.283	0.307	1	28	24	ENSG00000126351
Pozniak	malignant cell	ENSG00000177051	FBXO46	protein_coding	0.8479299401883527	0.5198519418239558	0.093	0.092	1	7	5	ENSG00000177051
Pozniak	malignant cell	ENSG00000179833	SERTAD2	protein_coding	0.8481881204523516	0.13014985436395876	0.422	0.468	1	47	43	ENSG00000179833
Pozniak	malignant cell	ENSG00000185917	SETD4	protein_coding	0.8484558015473375	0.3925103529213718	0.186	0.201	1	16	13	ENSG00000185917
Pozniak	malignant cell	ENSG00000273356	LINC02019	lncRNA	0.8485375373254714	0.27452258904187676	0.008	0.007	1	1	0	ENSG00000273356
Pozniak	malignant cell	ENSG00000235531	MSC-AS1	lncRNA	0.8486453969122053	0.5045770515423085	0.194	0.212	1	18	14	ENSG00000235531
